id,Name,B1,B2,B3,B4,B5,B6,B7
118,Barren,8489,9002,10167,11996,18770,23690,17612
119,Barren,8554,9024,9929,11541,18774,22180,16660
120,Barren,8490,9048,10201,12005,18243,23988,17865
121,Barren,8544,9055,10149,11619,17176,22935,17259
122,Barren,8368,8765,9702,11087,16034,21477,16261
123,Barren,8779,9356,10424,12068,17610,24279,18523
124,Barren,8456,9241,10400,11971,17213,18953,15373
125,Barren,8413,8806,9778,11079,17284,19634,14559
126,Barren,8584,9095,10172,11622,18611,21186,15364
127,Barren,8704,9170,10188,11742,18790,21283,15514
128,Barren,8570,9077,10349,12166,19389,21878,15941
129,Barren,7846,8411,9548,11076,16508,22508,17428
130,Barren,8147,9020,10421,12509,19003,23655,18352
131,Barren,8035,8699,9954,11670,17289,23148,18172
132,Barren,7973,8693,9904,11262,16673,21190,16994
133,Barren,8311,9153,10735,12805,19048,24285,18844
134,Barren,8270,9056,10888,12888,19315,24656,18578
135,Barren,8313,9258,11013,13542,20929,24838,18411
136,Barren,7969,8608,9798,11272,16475,23308,18387
137,Barren,7710,8379,9619,10908,17264,18797,14647
138,Barren,7265,7884,8926,10086,15720,18750,14629
139,Barren,7696,8590,10145,12123,17988,23052,17775
140,Barren,7737,8505,9606,11078,16606,21379,16730
141,Barren,7792,8337,9548,10958,17460,21974,17369
142,Barren,7643,8274,9453,10832,16891,21237,16226
143,Barren,7362,7965,8941,10079,14363,19737,15629
144,Barren,7537,8238,9442,10866,15237,20851,16617
145,Barren,8347,8849,9783,11502,17333,22845,17306
146,Barren,8572,8948,9812,11284,16888,23000,18107
147,Barren,8802,9348,10254,11771,18462,21166,16234
148,Barren,8711,9200,10341,11855,18974,21553,16040
149,Barren,8457,8854,9635,10931,15925,21059,16698
150,Barren,8375,8659,9276,10262,14138,17583,14572
151,Barren,7545,7453,7420,7197,7602,7306,7350
152,Barren,7888,7743,7636,7523,7989,7458,7401
153,Barren,7771,7810,7727,7586,8104,7564,7443
154,Barren,8054,7935,7825,7602,8261,7470,7421
155,Barren,7787,7605,7447,7275,7874,7346,7375
156,Barren,7486,7509,7451,7340,7877,7428,7393
157,Barren,7499,7608,7600,7497,8080,7449,7372
158,Barren,7575,7538,7531,7412,8032,7472,7396
159,Barren,7251,7484,7506,7408,8053,7493,7419
160,Barren,7986,7787,7771,7624,8500,7694,7494
161,Barren,7424,7394,7428,7443,8219,7626,7488
162,Barren,7700,7866,7612,7487,8327,7454,7404
163,Barren,8095,7923,7804,7731,8103,7562,7480
164,Barren,8812,8551,8166,7914,8151,7587,7512
165,Barren,8833,8456,8127,7903,8170,7547,7438
166,Barren,8435,8152,7973,7774,8048,7558,7432
167,Barren,7504,7567,7538,7466,7974,7527,7467
168,Barren,8172,8042,7909,7752,8265,7601,7496
169,Barren,7815,7638,7444,7296,7611,7379,7476
170,Barren,7864,7735,7656,7509,7767,7419,7366
171,Barren,7717,7696,7634,7517,7933,7433,7381
173,Barren,7602,7592,7508,7423,7687,7413,7372
174,Barren,8134,7841,7588,7193,7455,7264,7332
175,Barren,8206,7828,7666,7219,7603,7287,7360
175,Barren,8087,7938,7782,7633,8156,7528,7383
176,Barren,7875,7732,7635,7547,7972,7431,7365
177,Barren,8262,7968,7875,7727,8289,7498,7407
178,Barren,7406,7288,7334,7194,7604,7383,7406
179,Barren,7952,7701,7602,7305,7728,7317,7380
180,Barren,7989,7625,7518,6945,7486,7263,7398
181,Barren,7527,7441,7443,7251,7469,7323,7342
182,Barren,7643,7515,7493,7288,7616,7340,7340
183,Barren,8106,7865,7666,7285,7651,7323,7362
184,Barren,8748,8293,7880,7453,7672,7339,7418
185,Barren,7618,7444,7405,7120,7506,7320,7361
186,Barren,7639,7605,7517,7374,7732,7407,7380
187,Barren,8568,8477,8107,8159,8550,7613,7663
188,Barren,8079,7944,7805,7733,8351,8084,8075
