id,Name,B1,B2,B3,B4,B5,B6,B7
1,Barren,10487,12051,12886,15530,18220,38369,16289
2,Snow,23418,24438,24319,26109,23208,38625,18361
3,Snow,25228,27191,27495,28864,28777,39159,24056
4,Forest,8656,9087,8631,13730,11231,42474,9240
5,Snow,65535,65535,65535,65535,10126,36323,9124
6,Barren,9541,10978,11831,15339,13656,40979,11502
7,Forest,7811,8060,7821,10962,9628,41676,8295
8,Barren,9113,10148,11412,16013,18345,43218,14522
9,Snow,27327,28509,28747,30371,31174,33200,28939
10,Snow,26168,26496,27050,28356,11088,35848,9806
11,Snow,65535,31044,30781,28382,9695,34120,9106
12,Barren,9213,10381,11097,16539,18604,42894,14632
13,Barren,9840,10895,12282,16385,18488,42730,14141
14,Forest,7892,8373,7989,14492,10690,39467,8307
15,Barren,9721,11296,12295,17698,18473,42227,13638
16,Snow,65535,34593,34154,32290,10359,34004,9260
17,Barren,9609,10935,11955,14893,20004,43267,16503
18,Forest,8318,9021,8559,16309,12280,41694,9765
19,Forest,8333,9005,8488,19092,15390,39993,10361
20,Forest,7877,8659,8214,14912,11581,39220,9113
21,Barren,9688,11141,12768,16252,22401,55020,17819
22,Forest,7682,8414,7898,13838,10900,39424,8656
23,Snow,65535,65535,65535,53709,13536,35205,11157
24,Forest,8156,8853,8272,12698,10671,39415,8792
25,Forest,8221,8876,8449,14716,11471,40435,8955
26,Barren,12789,14448,15066,15484,18459,43493,16455
27,Barren,8806,9962,11088,16380,22004,42962,15642
28,Barren,9561,10513,11647,14764,16739,41814,13691
29,Forest,8140,8994,8527,13004,10479,40896,8883
30,Snow,65535,31207,30827,28898,10032,35827,9214
31,Forest,7968,8645,8057,15292,12481,41209,9390
32,Barren,9760,11044,13215,16091,19017,40903,14636
33,Barren,9909,10820,11908,16089,22768,42476,16678
34,Forest,8006,8929,8326,13883,11557,41965,9388
35,Barren,9181,10593,11449,16399,21151,43638,15760
36,Forest,8122,8331,8141,12209,9885,38940,8629
37,Barren,8902,9928,10709,16459,17044,0,13127
38,Barren,8905,10180,10900,15921,17846,40128,14071
39,Snow,65535,65535,65535,34595,8109,36481,7803
40,Forest,7834,8354,8034,14394,10782,39899,8478
41,Forest,7767,8553,8036,13210,11130,39102,9115
42,Barren,8802,9452,9933,12132,14610,42906,13354
43,Snow,65535,26812,25332,23529,9694,33623,8870
44,Snow,65535,65535,65535,65535,9182,36484,8515
45,Forest,8142,8883,8387,18383,12793,39732,9424
46,Snow,65535,36822,65535,33003,9512,34457,8751
47,Forest,8164,8964,8340,19885,13034,40820,9011
48,Snow,27856,28669,28732,31500,31345,33470,27496
49,Forest,7893,8172,7823,11148,9159,38356,7941
50,Snow,65535,31681,30706,29734,10155,34847,9308
51,Barren,9366,10795,12064,15124,20188,44568,16556
52,Forest,7915,8383,8031,10841,8974,39060,7978
53,Forest,8393,8756,8326,10908,9638,41517,8405
54,Barren,9109,10166,10752,14215,13733,41688,11734
55,Forest,8628,9533,8939,20262,15447,41035,10901
56,Barren,10642,12577,13410,14942,16634,41220,15754
57,Forest,7324,7719,7463,8846,8074,37253,7499
58,Forest,8078,9033,8243,16885,12711,41732,9392
59,Snow,25873,26530,26462,25966,9810,34332,9140
60,Snow,27771,27932,29481,30805,16370,37578,13112
61,Barren,9858,11329,12992,17153,24361,44143,18244
62,Snow,25158,23846,22986,22282,9574,32559,9145
63,Forest,7722,8342,7995,11026,9646,38774,8304
64,Barren,10416,11671,12018,13906,16722,44335,14743
65,Forest,7910,8339,7811,11503,9921,38503,8490
66,Barren,9254,10234,11430,15523,22766,42590,16678
67,Forest,8357,9407,8883,17971,13423,42083,10527
68,Forest,8576,9354,8618,15806,12235,41907,9595
69,Barren,9857,11513,12421,17410,19207,43318,15139
70,Barren,9841,11436,12558,18497,21837,40674,15180
71,Snow,65535,36599,65535,33806,8788,36631,8164
72,Forest,7711,8041,7752,9350,7968,40499,7924
73,Barren,8760,10153,10745,14103,12900,42941,11145
74,Forest,7820,8395,8015,13580,11022,39203,9115
75,Forest,7789,8209,7924,11308,9074,40287,8136
76,Barren,8892,9814,10591,14581,16279,39027,13320
