id,Name,B1,B2,B3,B4,B5,B6,B7
1,Forest,7990,8641,8242,16050,11302,41627,8740
2,Forest,8218,8796,8202,17341,13045,41111,9322
3,Forest,7696,8251,8094,16439,11099,40713,8531
4,Forest,7910,8091,7789,12076,9209,41581,7739
5,Forest,8185,8500,8108,13307,9759,41532,8335
6,Forest,8062,9290,8569,26160,15959,41225,10656
7,Forest,8231,8932,8651,19564,13707,42219,9700
8,Forest,8353,8844,9030,17683,13141,39471,9760
9,Forest,7849,8257,8251,10288,9110,40154,8755
10,Forest,8692,9043,8690,21491,13794,40869,9543
11,Forest,8174,8462,8385,20000,14067,40083,9856
12,Forest,7926,8289,8243,13875,11286,40017,8902
13,Forest,7866,8411,8025,15140,12167,39942,9077
14,Forest,7873,8371,8342,15138,11911,40082,9265
15,Forest,8201,8947,8646,20670,14330,41124,9996
16,Forest,7715,7716,7655,9826,8136,39839,7580
17,Forest,8388,9251,8861,25060,18321,41660,11755
18,Forest,8353,9475,8863,24794,16351,41581,10948
19,Forest,7911,8832,8329,18045,13303,40151,9756
20,Forest,8046,8076,7930,16362,11900,40685,8753
21,Forest,7741,7803,7917,11174,9447,41343,8133
22,Forest,8214,8526,8120,15717,11714,40722,8705
23,Forest,8015,8873,8252,20697,13411,41934,9647
24,Forest,7673,8069,7791,12738,9584,42125,7948
25,Forest,8082,8855,8078,17945,12338,42088,9074
26,Forest,8009,8473,8216,16701,12514,40380,9279
27,Forest,8032,8513,8138,17566,12347,41817,9269
28,Forest,8001,8219,8086,15260,11427,41999,8700
29,Forest,8098,8808,8183,18331,13397,41929,9268
30,Forest,7610,7851,7722,11406,9584,39041,7756
31,Forest,7664,7843,7716,9760,8850,38783,7925
32,Forest,7965,8727,8286,21865,13544,40670,9646
33,Forest,7649,7818,7572,9893,7971,39273,7740
34,Forest,7676,8221,8037,15462,11122,39695,8828
35,Forest,7888,8181,7975,12754,9505,38684,7930
36,Forest,8192,8780,8488,19031,13629,39964,9737
37,Forest,7874,8257,8369,13414,10867,39604,9011
38,Forest,7722,8018,8017,11604,9617,39621,8291
39,Forest,7936,8690,8249,18706,12349,40553,9278
40,Forest,7785,7946,7940,11259,9207,39444,7963
41,Forest,7870,8364,8163,15593,11162,40569,8715
42,Forest,8030,8245,8061,15246,11947,40550,9085
43,Forest,8020,8000,7843,9318,8415,40178,7771
44,Forest,7705,8020,7705,10270,8676,39546,7396
45,Forest,7881,7894,7798,8903,7624,39493,7206
46,Forest,7616,8156,7852,11541,9469,39788,8099
47,Forest,8068,8590,8474,16737,14022,39892,10282
48,Forest,8529,9342,9347,18139,15934,41700,11506
49,Forest,8442,8990,8355,20997,15716,41194,9898
50,Forest,8141,8777,8339,20706,13113,40426,9725
51,Snow,65535,33468,33453,30848,11003,33671,10069
52,Snow,65535,33863,33771,31997,11418,32401,10365
53,Snow,65535,65535,65535,65535,17138,1,16272
54,Snow,65535,46144,65535,43991,13453,33309,11742
55,Snow,24891,24568,24704,23565,9832,34022,9159
56,Snow,27311,27536,27604,26810,13684,35190,12594
57,Snow,65535,56140,65535,53013,13694,36649,11855
58,Snow,65535,47148,47073,44348,13709,1,11670
59,Snow,65535,41991,42250,38871,10309,35023,9322
60,Snow,65535,42435,43115,40071,10721,36009,9326
61,Snow,65535,44564,46012,41412,11803,35189,10689
62,Snow,65535,38679,38521,35739,9905,33297,9130
63,Snow,65535,40003,40427,37424,10443,1,9321
64,Snow,65535,55374,65535,52498,12875,36490,11070
65,Snow,65535,51125,65535,48184,13279,37277,10680
66,Snow,65535,44956,44884,42716,12332,36966,10681
67,Snow,65535,54588,65535,51696,14084,36170,11843
68,Snow,65535,52090,65535,48026,10846,36010,9709
69,Snow,65535,54803,65535,51063,11925,35353,10290
70,Snow,65535,42374,43025,40105,12579,36808,10666
71,Snow,65535,50128,65535,48066,12718,35846,10862
72,Snow,65535,44841,45084,42855,12288,36007,10651
73,Snow,65535,51959,65535,50718,13874,35683,11985
74,Snow,65535,36296,37103,36097,17170,36960,13692
75,Snow,28972,30292,29842,28388,10398,33823,9293
76,Snow,65535,41920,65535,40104,19339,33671,18471
77,Snow,65535,24719,24415,22969,9287,33130,8388
78,Snow,65535,39528,39393,36874,10294,32937,9409
79,Snow,65535,36794,36973,34615,9907,32938,9039
80,Snow,65535,45571,45210,40945,10135,34529,8985
81,Snow,65535,46053,46598,43001,10281,34002,8988
82,Snow,65535,44262,44647,41105,9948,34529,8956
83,Snow,65535,39513,40010,36442,11720,37821,10912
84,Snow,65535,37984,38416,36066,13773,37665,12484
85,Snow,65535,36816,36642,34131,9950,37039,9153
86,Snow,65535,39895,40498,37232,9538,36226,9153
87,Snow,65535,49845,65535,45541,11046,36550,9939
88,Snow,65535,46604,47033,44242,11960,33825,10393
89,Snow,65535,55362,65535,50759,12087,36221,10384
90,Snow,26142,25591,25231,23789,8153,32342,7770
91,Snow,65535,47713,48137,43210,10064,36389,8943
92,Snow,27573,28694,28380,27234,8707,35033,8165
93,Snow,65535,46943,47633,42793,10606,37986,9724
94,Snow,65535,44687,65535,43153,12303,35396,10540
95,Snow,65535,34504,34834,32939,11436,33669,10228
96,Snow,20938,22159,22642,22014,12044,37028,11041
97,Snow,26940,27567,27447,26997,11267,35878,9710
98,Snow,28087,26990,27143,23877,8415,34868,7959
99,Snow,25111,25630,25358,23792,8973,34696,8550
100,Snow,65535,36435,36754,32648,9245,35723,8551
101,Snow,25434,25295,25103,22890,8993,34873,8564
102,Barren,10181,11313,12328,17327,18696,43190,14330
103,Barren,9693,10847,11077,16526,17050,42840,12946
104,Barren,9774,11044,12524,16720,18073,43735,14139
105,Barren,10129,11108,12133,16805,17904,42719,13677
106,Barren,10431,11500,12498,16974,19023,43184,14956
107,Barren,10202,11045,11960,17612,18618,43550,14165
108,Barren,9060,9553,9769,11222,11850,40867,10231
109,Barren,9568,10397,11130,12984,14503,40970,12323
110,Barren,9236,10173,10610,14744,18746,42101,14416
111,Barren,9415,10403,11274,14318,18816,41443,14980
112,Barren,9340,10205,11278,13937,16841,39829,12705
